State,Year,Sector,Carbon_Type,Emission (Metric Tons)
Andhra Pradesh,2019,Waste Management,CO,0.3
Andhra Pradesh,2019,Waste Management,CO2,3.72
Andhra Pradesh,2019,Waste Management,CH4,6.54
Andhra Pradesh,2020,Energy,CO,2.61
Andhra Pradesh,2020,Energy,CO2,63.08
Andhra Pradesh,2020,Energy,CH4,4.28
Andhra Pradesh,2020,Industry,CO,1.39
Andhra Pradesh,2020,Industry,CO2,33.2
Andhra Pradesh,2020,Industry,CH4,1.5
Andhra Pradesh,2020,Transportation,CO,4.32
Andhra Pradesh,2020,Transportation,CO2,26.85
Andhra Pradesh,2020,Transportation,CH4,0.54
Andhra Pradesh,2020,Agriculture,CO,0.53
Andhra Pradesh,2020,Agriculture,CO2,10.2
Andhra Pradesh,2020,Agriculture,CH4,4.27
Andhra Pradesh,2020,Waste Management,CO,0.27
Andhra Pradesh,2020,Waste Management,CO2,5.21
Andhra Pradesh,2020,Waste Management,CH4,7.46
Andhra Pradesh,2021,Energy,CO,3.62
Andhra Pradesh,2021,Energy,CO2,42.8
Andhra Pradesh,2021,Energy,CH4,1.75
Andhra Pradesh,2021,Industry,CO,1.25
Andhra Pradesh,2021,Industry,CO2,36.64
Andhra Pradesh,2021,Industry,CH4,2.16
Andhra Pradesh,2021,Transportation,CO,1.84
Andhra Pradesh,2021,Transportation,CO2,27.69
Andhra Pradesh,2021,Transportation,CH4,1.21
Andhra Pradesh,2021,Agriculture,CO,0.38
Andhra Pradesh,2021,Agriculture,CO2,10.73
Andhra Pradesh,2021,Agriculture,CH4,6.73
Andhra Pradesh,2021,Waste Management,CO,0.27
Andhra Pradesh,2021,Waste Management,CO2,5.91
Andhra Pradesh,2021,Waste Management,CH4,4.88
Andhra Pradesh,2022,Energy,CO,3.35
Andhra Pradesh,2022,Energy,CO2,27.6
Andhra Pradesh,2022,Energy,CH4,4.24
Andhra Pradesh,2022,Industry,CO,1.62
Andhra Pradesh,2022,Industry,CO2,54.66
Andhra Pradesh,2022,Industry,CH4,3.26
Andhra Pradesh,2022,Transportation,CO,2.24
Andhra Pradesh,2022,Transportation,CO2,15.11
Andhra Pradesh,2022,Transportation,CH4,0.92
Andhra Pradesh,2022,Agriculture,CO,0.5
Andhra Pradesh,2022,Agriculture,CO2,6.2
Andhra Pradesh,2022,Agriculture,CH4,9.61
Andhra Pradesh,2022,Waste Management,CO,0.35
Andhra Pradesh,2022,Waste Management,CO2,4.07
Andhra Pradesh,2022,Waste Management,CH4,8.04
Andhra Pradesh,2023,Energy,CO,1.33
Andhra Pradesh,2023,Energy,CO2,70.01
Andhra Pradesh,2023,Energy,CH4,3.22
Andhra Pradesh,2023,Industry,CO,1.85
Andhra Pradesh,2023,Industry,CO2,39.11
Andhra Pradesh,2023,Industry,CH4,3.33
Andhra Pradesh,2023,Transportation,CO,1.59
Andhra Pradesh,2023,Transportation,CO2,30.85
Andhra Pradesh,2023,Transportation,CH4,1.08
Andhra Pradesh,2023,Agriculture,CO,0.42
Andhra Pradesh,2023,Agriculture,CO2,12.98
Andhra Pradesh,2023,Agriculture,CH4,10.89
Andhra Pradesh,2023,Waste Management,CO,0.44
Andhra Pradesh,2023,Waste Management,CO2,6.76
Andhra Pradesh,2023,Waste Management,CH4,5.64
Andhra Pradesh,2024,Energy,CO,3.56
Andhra Pradesh,2024,Energy,CO2,31.3
Andhra Pradesh,2024,Energy,CH4,2.8
Andhra Pradesh,2024,Industry,CO,2.04
Andhra Pradesh,2024,Industry,CO2,48.87
Andhra Pradesh,2024,Industry,CH4,1.97
Andhra Pradesh,2024,Transportation,CO,3.48
Andhra Pradesh,2024,Transportation,CO2,17.99
Andhra Pradesh,2024,Transportation,CH4,0.64
Andhra Pradesh,2024,Agriculture,CO,0.6
Andhra Pradesh,2024,Agriculture,CO2,5.75
Andhra Pradesh,2024,Agriculture,CH4,11.21
Andhra Pradesh,2024,Waste Management,CO,0.26
Andhra Pradesh,2024,Waste Management,CO2,5.27
Andhra Pradesh,2024,Waste Management,CH4,9.64
Arunachal Pradesh,2010,Energy,CO,1.94
Arunachal Pradesh,2010,Energy,CO2,70.1
Arunachal Pradesh,2010,Energy,CH4,2.57
Arunachal Pradesh,2010,Industry,CO,2.05
Arunachal Pradesh,2010,Industry,CO2,31.76
Arunachal Pradesh,2010,Industry,CH4,2.67
Arunachal Pradesh,2010,Transportation,CO,2.95
Arunachal Pradesh,2010,Transportation,CO2,32.11
Arunachal Pradesh,2010,Transportation,CH4,0.76
Arunachal Pradesh,2010,Agriculture,CO,0.38
Arunachal Pradesh,2010,Agriculture,CO2,13.47
Arunachal Pradesh,2010,Agriculture,CH4,11.61
Arunachal Pradesh,2010,Waste Management,CO,0.34
Arunachal Pradesh,2010,Waste Management,CO2,5.61
Arunachal Pradesh,2010,Waste Management,CH4,6.0
Arunachal Pradesh,2011,Energy,CO,3.48
Arunachal Pradesh,2011,Energy,CO2,49.49
Arunachal Pradesh,2011,Energy,CH4,3.03
Arunachal Pradesh,2011,Industry,CO,0.93
Arunachal Pradesh,2011,Industry,CO2,50.38
Arunachal Pradesh,2011,Industry,CH4,2.07
Arunachal Pradesh,2011,Transportation,CO,2.53
Arunachal Pradesh,2011,Transportation,CO2,39.17
Arunachal Pradesh,2011,Transportation,CH4,1.03
Arunachal Pradesh,2011,Agriculture,CO,0.42
Arunachal Pradesh,2011,Agriculture,CO2,8.22
Arunachal Pradesh,2011,Agriculture,CH4,9.65
Arunachal Pradesh,2011,Waste Management,CO,0.27
Arunachal Pradesh,2011,Waste Management,CO2,2.78
Arunachal Pradesh,2011,Waste Management,CH4,4.66
Arunachal Pradesh,2012,Energy,CO,1.9
Arunachal Pradesh,2012,Energy,CO2,67.55
Arunachal Pradesh,2012,Energy,CH4,2.0
Arunachal Pradesh,2012,Industry,CO,1.31
Arunachal Pradesh,2012,Industry,CO2,47.42
Arunachal Pradesh,2012,Industry,CH4,2.93
Arunachal Pradesh,2012,Transportation,CO,3.31
Arunachal Pradesh,2012,Transportation,CO2,42.62
Arunachal Pradesh,2012,Transportation,CH4,1.39
Arunachal Pradesh,2012,Agriculture,CO,0.69
Arunachal Pradesh,2012,Agriculture,CO2,6.69
Arunachal Pradesh,2012,Agriculture,CH4,4.2
Arunachal Pradesh,2012,Waste Management,CO,0.36
Arunachal Pradesh,2012,Waste Management,CO2,4.41
Arunachal Pradesh,2012,Waste Management,CH4,7.18
Arunachal Pradesh,2013,Energy,CO,1.85
Arunachal Pradesh,2013,Energy,CO2,66.8
Arunachal Pradesh,2013,Energy,CH4,1.62
Arunachal Pradesh,2013,Industry,CO,1.86
Arunachal Pradesh,2013,Industry,CO2,37.3
Arunachal Pradesh,2013,Industry,CH4,2.25
Arunachal Pradesh,2013,Transportation,CO,3.63
Arunachal Pradesh,2013,Transportation,CO2,34.43
Arunachal Pradesh,2013,Transportation,CH4,0.71
Arunachal Pradesh,2013,Agriculture,CO,0.41
Arunachal Pradesh,2013,Agriculture,CO2,14.13
Arunachal Pradesh,2013,Agriculture,CH4,11.56
Arunachal Pradesh,2013,Waste Management,CO,0.45
Arunachal Pradesh,2013,Waste Management,CO2,6.72
Arunachal Pradesh,2013,Waste Management,CH4,5.1
Arunachal Pradesh,2014,Energy,CO,1.96
Arunachal Pradesh,2014,Energy,CO2,39.57
Arunachal Pradesh,2014,Energy,CH4,3.83
Arunachal Pradesh,2014,Industry,CO,1.11
Arunachal Pradesh,2014,Industry,CO2,36.77
Arunachal Pradesh,2014,Industry,CH4,2.56
Arunachal Pradesh,2014,Transportation,CO,4.45
Arunachal Pradesh,2014,Transportation,CO2,19.12
Arunachal Pradesh,2014,Transportation,CH4,0.75
Arunachal Pradesh,2014,Agriculture,CO,0.48
Arunachal Pradesh,2014,Agriculture,CO2,5.44
Arunachal Pradesh,2014,Agriculture,CH4,8.32
Arunachal Pradesh,2014,Waste Management,CO,0.28
Arunachal Pradesh,2014,Waste Management,CO2,5.99
Arunachal Pradesh,2014,Waste Management,CH4,5.19
Arunachal Pradesh,2015,Energy,CO,2.14
Arunachal Pradesh,2015,Energy,CO2,68.8
Arunachal Pradesh,2015,Energy,CH4,3.62
Arunachal Pradesh,2015,Industry,CO,2.69
Arunachal Pradesh,2015,Industry,CO2,51.11
Arunachal Pradesh,2015,Industry,CH4,1.63
Arunachal Pradesh,2015,Transportation,CO,2.8
Arunachal Pradesh,2015,Transportation,CO2,39.49
Arunachal Pradesh,2015,Transportation,CH4,0.78
Arunachal Pradesh,2015,Agriculture,CO,0.56
Arunachal Pradesh,2015,Agriculture,CO2,8.03
Arunachal Pradesh,2015,Agriculture,CH4,11.82
Arunachal Pradesh,2015,Waste Management,CO,0.32
Arunachal Pradesh,2015,Waste Management,CO2,4.51
Arunachal Pradesh,2015,Waste Management,CH4,9.1
Arunachal Pradesh,2016,Energy,CO,3.22
Arunachal Pradesh,2016,Energy,CO2,61.8
Arunachal Pradesh,2016,Energy,CH4,2.31
Arunachal Pradesh,2016,Industry,CO,1.2
Arunachal Pradesh,2016,Industry,CO2,42.12
Arunachal Pradesh,2016,Industry,CH4,2.1
Arunachal Pradesh,2016,Transportation,CO,4.01
Arunachal Pradesh,2016,Transportation,CO2,38.97
Arunachal Pradesh,2016,Transportation,CH4,1.32
Arunachal Pradesh,2016,Agriculture,CO,0.29
Arunachal Pradesh,2016,Agriculture,CO2,9.29
Arunachal Pradesh,2016,Agriculture,CH4,10.52
Arunachal Pradesh,2016,Waste Management,CO,0.22
Arunachal Pradesh,2016,Waste Management,CO2,6.77
Arunachal Pradesh,2016,Waste Management,CH4,4.67
Arunachal Pradesh,2017,Energy,CO,1.97
Arunachal Pradesh,2017,Energy,CO2,57.25
Arunachal Pradesh,2017,Energy,CH4,2.21
Arunachal Pradesh,2017,Industry,CO,1.01
Arunachal Pradesh,2017,Industry,CO2,52.59
Arunachal Pradesh,2017,Industry,CH4,2.73
Arunachal Pradesh,2017,Transportation,CO,4.1
Arunachal Pradesh,2017,Transportation,CO2,38.42
Arunachal Pradesh,2017,Transportation,CH4,0.51
Arunachal Pradesh,2017,Agriculture,CO,0.54
Arunachal Pradesh,2017,Agriculture,CO2,12.14
Arunachal Pradesh,2017,Agriculture,CH4,11.37
Arunachal Pradesh,2017,Waste Management,CO,0.19
Arunachal Pradesh,2017,Waste Management,CO2,6.7
Arunachal Pradesh,2017,Waste Management,CH4,5.59
Arunachal Pradesh,2018,Energy,CO,3.18
Arunachal Pradesh,2018,Energy,CO2,63.21
Arunachal Pradesh,2018,Energy,CH4,3.88
Arunachal Pradesh,2018,Industry,CO,1.16
Arunachal Pradesh,2018,Industry,CO2,30.83
Arunachal Pradesh,2018,Industry,CH4,1.82
Arunachal Pradesh,2018,Transportation,CO,2.26
Arunachal Pradesh,2018,Transportation,CO2,24.36
Arunachal Pradesh,2018,Transportation,CH4,0.95
Arunachal Pradesh,2018,Agriculture,CO,0.56
Arunachal Pradesh,2018,Agriculture,CO2,6.75
Arunachal Pradesh,2018,Agriculture,CH4,8.88
Arunachal Pradesh,2018,Waste Management,CO,0.27
Arunachal Pradesh,2018,Waste Management,CO2,7.38
Arunachal Pradesh,2018,Waste Management,CH4,3.95
Arunachal Pradesh,2019,Energy,CO,1.99
Arunachal Pradesh,2019,Energy,CO2,66.96
Arunachal Pradesh,2019,Energy,CH4,3.18
Arunachal Pradesh,2019,Industry,CO,0.93
Arunachal Pradesh,2019,Industry,CO2,35.06
Arunachal Pradesh,2019,Industry,CH4,1.45
Arunachal Pradesh,2019,Transportation,CO,3.3
Arunachal Pradesh,2019,Transportation,CO2,41.38
Arunachal Pradesh,2019,Transportation,CH4,0.95
Arunachal Pradesh,2019,Agriculture,CO,0.33
Arunachal Pradesh,2019,Agriculture,CO2,13.43
Arunachal Pradesh,2019,Agriculture,CH4,5.2
Arunachal Pradesh,2019,Waste Management,CO,0.17
Arunachal Pradesh,2019,Waste Management,CO2,3.87
Arunachal Pradesh,2019,Waste Management,CH4,9.28
Arunachal Pradesh,2020,Energy,CO,2.08
Arunachal Pradesh,2020,Energy,CO2,41.31
Arunachal Pradesh,2020,Energy,CH4,3.52
Arunachal Pradesh,2020,Industry,CO,2.03
Arunachal Pradesh,2020,Industry,CO2,40.72
Arunachal Pradesh,2020,Industry,CH4,1.37
Arunachal Pradesh,2020,Transportation,CO,2.38
Arunachal Pradesh,2020,Transportation,CO2,37.25
Arunachal Pradesh,2020,Transportation,CH4,1.08
Arunachal Pradesh,2020,Agriculture,CO,0.53
Arunachal Pradesh,2020,Agriculture,CO2,6.89
Arunachal Pradesh,2020,Agriculture,CH4,6.74
Arunachal Pradesh,2020,Waste Management,CO,0.21
Arunachal Pradesh,2020,Waste Management,CO2,3.05
Arunachal Pradesh,2020,Waste Management,CH4,4.66
Arunachal Pradesh,2021,Energy,CO,3.27
Arunachal Pradesh,2021,Energy,CO2,29.1
Arunachal Pradesh,2021,Energy,CH4,4.41
Arunachal Pradesh,2021,Industry,CO,1.0
Arunachal Pradesh,2021,Industry,CO2,24.12
Arunachal Pradesh,2021,Industry,CH4,3.75
Arunachal Pradesh,2021,Transportation,CO,3.21
Arunachal Pradesh,2021,Transportation,CO2,39.14
Arunachal Pradesh,2021,Transportation,CH4,0.8
Arunachal Pradesh,2021,Agriculture,CO,0.3
Arunachal Pradesh,2021,Agriculture,CO2,13.94
Arunachal Pradesh,2021,Agriculture,CH4,5.68
Arunachal Pradesh,2021,Waste Management,CO,0.41
Arunachal Pradesh,2021,Waste Management,CO2,4.38
Arunachal Pradesh,2021,Waste Management,CH4,9.14
Arunachal Pradesh,2022,Energy,CO,1.56
Arunachal Pradesh,2022,Energy,CO2,39.99
Arunachal Pradesh,2022,Energy,CH4,2.44
Arunachal Pradesh,2022,Industry,CO,2.26
Arunachal Pradesh,2022,Industry,CO2,59.5
Arunachal Pradesh,2022,Industry,CH4,3.54
Arunachal Pradesh,2022,Transportation,CO,3.22
Arunachal Pradesh,2022,Transportation,CO2,23.47
Arunachal Pradesh,2022,Transportation,CH4,1.29
Arunachal Pradesh,2022,Agriculture,CO,0.43
Arunachal Pradesh,2022,Agriculture,CO2,14.85
Arunachal Pradesh,2022,Agriculture,CH4,9.33
Arunachal Pradesh,2022,Waste Management,CO,0.35
Arunachal Pradesh,2022,Waste Management,CO2,3.42
Arunachal Pradesh,2022,Waste Management,CH4,7.34
Arunachal Pradesh,2023,Energy,CO,3.66
Arunachal Pradesh,2023,Energy,CO2,62.22
Arunachal Pradesh,2023,Energy,CH4,2.09
Arunachal Pradesh,2023,Industry,CO,2.05
Arunachal Pradesh,2023,Industry,CO2,30.77
Arunachal Pradesh,2023,Industry,CH4,3.7
Arunachal Pradesh,2023,Transportation,CO,1.51
Arunachal Pradesh,2023,Transportation,CO2,24.36
Arunachal Pradesh,2023,Transportation,CH4,0.6
Arunachal Pradesh,2023,Agriculture,CO,0.36
Arunachal Pradesh,2023,Agriculture,CO2,12.65
Arunachal Pradesh,2023,Agriculture,CH4,11.36
Arunachal Pradesh,2023,Waste Management,CO,0.17
Arunachal Pradesh,2023,Waste Management,CO2,7.42
Arunachal Pradesh,2023,Waste Management,CH4,4.34
Arunachal Pradesh,2024,Energy,CO,3.46
Arunachal Pradesh,2024,Energy,CO2,47.79
Arunachal Pradesh,2024,Energy,CH4,3.36
Arunachal Pradesh,2024,Industry,CO,2.22
Arunachal Pradesh,2024,Industry,CO2,40.25
Arunachal Pradesh,2024,Industry,CH4,3.44
Arunachal Pradesh,2024,Transportation,CO,2.12
Arunachal Pradesh,2024,Transportation,CO2,44.17
Arunachal Pradesh,2024,Transportation,CH4,1.45
Arunachal Pradesh,2024,Agriculture,CO,0.47
Arunachal Pradesh,2024,Agriculture,CO2,7.15
Arunachal Pradesh,2024,Agriculture,CH4,5.3
Arunachal Pradesh,2024,Waste Management,CO,0.32
Arunachal Pradesh,2024,Waste Management,CO2,4.78
Arunachal Pradesh,2024,Waste Management,CH4,6.79
Assam,2010,Energy,CO,1.46
Assam,2010,Energy,CO2,55.4
Assam,2010,Energy,CH4,3.7
Assam,2010,Industry,CO,2.1
Assam,2010,Industry,CO2,32.02
Assam,2010,Industry,CH4,1.27
Assam,2010,Transportation,CO,3.44
Assam,2010,Transportation,CO2,16.06
Assam,2010,Transportation,CH4,0.66
Assam,2010,Agriculture,CO,0.68
Assam,2010,Agriculture,CO2,14.64
Assam,2010,Agriculture,CH4,4.52
Assam,2010,Waste Management,CO,0.19
Assam,2010,Waste Management,CO2,4.77
Assam,2010,Waste Management,CH4,8.77
Assam,2011,Energy,CO,1.72
Assam,2011,Energy,CO2,41.49
Assam,2011,Energy,CH4,2.82
Assam,2011,Industry,CO,1.16
Assam,2011,Industry,CO2,36.34
Assam,2011,Industry,CH4,3.28
Assam,2011,Transportation,CO,3.09
Assam,2011,Transportation,CO2,31.71
Assam,2011,Transportation,CH4,0.71
Assam,2011,Agriculture,CO,0.66
Assam,2011,Agriculture,CO2,9.99
Assam,2011,Agriculture,CH4,6.61
Assam,2011,Waste Management,CO,0.19
Assam,2011,Waste Management,CO2,3.6
Assam,2011,Waste Management,CH4,4.8
Assam,2012,Energy,CO,1.53
Assam,2012,Energy,CO2,35.3
Assam,2012,Energy,CH4,3.86
Assam,2012,Industry,CO,1.32
Assam,2012,Industry,CO2,31.67
Assam,2012,Industry,CH4,3.13
Assam,2012,Transportation,CO,3.66
Assam,2012,Transportation,CO2,42.08
Assam,2012,Transportation,CH4,0.5
Assam,2012,Agriculture,CO,0.42
Assam,2012,Agriculture,CO2,5.47
Assam,2012,Agriculture,CH4,10.88
Assam,2012,Waste Management,CO,0.32
Assam,2012,Waste Management,CO2,4.69
Assam,2012,Waste Management,CH4,3.39
Assam,2013,Energy,CO,2.28
Assam,2013,Energy,CO2,66.53
Assam,2013,Energy,CH4,3.15
Assam,2013,Industry,CO,1.1
Assam,2013,Industry,CO2,37.13
Assam,2013,Industry,CH4,1.66
Assam,2013,Transportation,CO,2.58
Assam,2013,Transportation,CO2,15.83
Assam,2013,Transportation,CH4,0.88
Assam,2013,Agriculture,CO,0.3
Assam,2013,Agriculture,CO2,13.36
Assam,2013,Agriculture,CH4,6.97
Assam,2013,Waste Management,CO,0.26
Assam,2013,Waste Management,CO2,4.67
Assam,2013,Waste Management,CH4,7.55
Assam,2014,Energy,CO,1.46
Assam,2014,Energy,CO2,74.25
Assam,2014,Energy,CH4,4.43
Assam,2014,Industry,CO,1.35
Assam,2014,Industry,CO2,29.68
Assam,2014,Industry,CH4,1.35
Assam,2014,Transportation,CO,3.81
Assam,2014,Transportation,CO2,32.98
Assam,2014,Transportation,CH4,0.9
Assam,2014,Agriculture,CO,0.45
Assam,2014,Agriculture,CO2,13.12
Assam,2014,Agriculture,CH4,4.66
Assam,2014,Waste Management,CO,0.19
Assam,2014,Waste Management,CO2,3.11
Assam,2014,Waste Management,CH4,7.2
Assam,2015,Energy,CO,3.37
Assam,2015,Energy,CO2,72.0
Assam,2015,Energy,CH4,3.36
Assam,2015,Industry,CO,1.38
Assam,2015,Industry,CO2,31.27
Assam,2015,Industry,CH4,3.26
Assam,2015,Transportation,CO,3.71
Assam,2015,Transportation,CO2,33.31
Assam,2015,Transportation,CH4,1.36
Assam,2015,Agriculture,CO,0.34
Assam,2015,Agriculture,CO2,6.99
Assam,2015,Agriculture,CH4,10.61
Assam,2015,Waste Management,CO,0.24
Assam,2015,Waste Management,CO2,3.52
Assam,2015,Waste Management,CH4,5.25
Assam,2016,Energy,CO,2.73
Assam,2016,Energy,CO2,54.62
Assam,2016,Energy,CH4,3.16
Assam,2016,Industry,CO,1.47
Assam,2016,Industry,CO2,22.91
Assam,2016,Industry,CH4,1.92
Assam,2016,Transportation,CO,2.94
Assam,2016,Transportation,CO2,15.17
Assam,2016,Transportation,CH4,1.43
Assam,2016,Agriculture,CO,0.3
Assam,2016,Agriculture,CO2,5.15
Assam,2016,Agriculture,CH4,11.82
Assam,2016,Waste Management,CO,0.23
Assam,2016,Waste Management,CO2,4.1
Assam,2016,Waste Management,CH4,7.47
Assam,2017,Energy,CO,2.6
Assam,2017,Energy,CO2,37.91
Assam,2017,Energy,CH4,2.2
Assam,2017,Industry,CO,2.69
Assam,2017,Industry,CO2,44.01
