state,year,sector,emission_(metric_tons)
Andhra Pradesh,2022,Industry,59.53999999999999
Andhra Pradesh,2022,Transportation,18.27
Andhra Pradesh,2022,Waste Management,12.459999999999999
Andhra Pradesh,2023,Agriculture,24.29
Andhra Pradesh,2023,Energy,74.56
Andhra Pradesh,2023,Industry,44.29
Andhra Pradesh,2023,Transportation,33.52
Andhra Pradesh,2023,Waste Management,12.84
Andhra Pradesh,2024,Agriculture,17.560000000000002
Andhra Pradesh,2024,Energy,37.66
Andhra Pradesh,2024,Industry,52.879999999999995
Andhra Pradesh,2024,Transportation,22.11
Andhra Pradesh,2024,Waste Management,15.17
Arunachal Pradesh,2010,Agriculture,25.46
Arunachal Pradesh,2010,Energy,74.60999999999999
Arunachal Pradesh,2010,Industry,36.480000000000004
Arunachal Pradesh,2010,Transportation,35.82
Arunachal Pradesh,2010,Waste Management,11.95
Arunachal Pradesh,2011,Agriculture,18.29
Arunachal Pradesh,2011,Energy,56.0
Arunachal Pradesh,2011,Industry,53.38
Arunachal Pradesh,2011,Transportation,42.730000000000004
Arunachal Pradesh,2011,Waste Management,7.71
Arunachal Pradesh,2012,Agriculture,11.58
Arunachal Pradesh,2012,Energy,71.45
Arunachal Pradesh,2012,Industry,51.660000000000004
Arunachal Pradesh,2012,Transportation,47.32
Arunachal Pradesh,2012,Waste Management,11.95
Arunachal Pradesh,2013,Agriculture,26.1
Arunachal Pradesh,2013,Energy,70.27
Arunachal Pradesh,2013,Industry,41.41
Arunachal Pradesh,2013,Transportation,38.77
Arunachal Pradesh,2013,Waste Management,12.27
Arunachal Pradesh,2014,Agriculture,14.24
Arunachal Pradesh,2014,Energy,45.36
Arunachal Pradesh,2014,Industry,40.440000000000005
Arunachal Pradesh,2014,Transportation,24.32
Arunachal Pradesh,2014,Waste Management,11.46
Arunachal Pradesh,2015,Agriculture,20.41
Arunachal Pradesh,2015,Energy,74.56
Arunachal Pradesh,2015,Industry,55.43
Arunachal Pradesh,2015,Transportation,43.07
Arunachal Pradesh,2015,Waste Management,13.93
Arunachal Pradesh,2016,Agriculture,20.099999999999998
Arunachal Pradesh,2016,Energy,67.33
Arunachal Pradesh,2016,Industry,45.42
Arunachal Pradesh,2016,Transportation,44.3
Arunachal Pradesh,2016,Waste Management,11.66
Arunachal Pradesh,2017,Agriculture,24.049999999999997
Arunachal Pradesh,2017,Energy,61.43
Arunachal Pradesh,2017,Industry,56.33
Arunachal Pradesh,2017,Transportation,43.03
Arunachal Pradesh,2017,Waste Management,12.48
Arunachal Pradesh,2018,Agriculture,16.19
Arunachal Pradesh,2018,Energy,70.27
Arunachal Pradesh,2018,Industry,33.809999999999995
Arunachal Pradesh,2018,Transportation,27.569999999999997
Arunachal Pradesh,2018,Waste Management,11.6
Arunachal Pradesh,2019,Agriculture,18.96
Arunachal Pradesh,2019,Energy,72.13
Arunachal Pradesh,2019,Industry,37.440000000000005
Arunachal Pradesh,2019,Transportation,45.63
Arunachal Pradesh,2019,Waste Management,13.32
Arunachal Pradesh,2020,Agriculture,14.16
Arunachal Pradesh,2020,Energy,46.910000000000004
Arunachal Pradesh,2020,Industry,44.12
Arunachal Pradesh,2020,Transportation,40.71
Arunachal Pradesh,2020,Waste Management,7.92
Arunachal Pradesh,2021,Agriculture,19.92
Arunachal Pradesh,2021,Energy,36.78
Arunachal Pradesh,2021,Industry,28.87
Arunachal Pradesh,2021,Transportation,43.15
Arunachal Pradesh,2021,Waste Management,13.93
Arunachal Pradesh,2022,Agriculture,24.61
Arunachal Pradesh,2022,Energy,43.99
Arunachal Pradesh,2022,Industry,65.3
Arunachal Pradesh,2022,Transportation,27.979999999999997
Arunachal Pradesh,2022,Waste Management,11.11
Arunachal Pradesh,2023,Agriculture,24.369999999999997
Arunachal Pradesh,2023,Energy,67.97
Arunachal Pradesh,2023,Industry,36.52
Arunachal Pradesh,2023,Transportation,26.470000000000002
Arunachal Pradesh,2023,Waste Management,11.93
Arunachal Pradesh,2024,Agriculture,12.92
Arunachal Pradesh,2024,Energy,54.61
Arunachal Pradesh,2024,Industry,45.91
Arunachal Pradesh,2024,Transportation,47.74
Arunachal Pradesh,2024,Waste Management,11.89
Assam,2010,Agriculture,19.84
Assam,2010,Energy,60.56
Assam,2010,Industry,35.39000000000001
Assam,2010,Transportation,20.16
Assam,2010,Waste Management,13.73
Assam,2011,Agriculture,17.26
Assam,2011,Energy,46.03
Assam,2011,Industry,40.78
Assam,2011,Transportation,35.51
Assam,2011,Waste Management,8.59
Assam,2012,Agriculture,16.77
Assam,2012,Energy,40.69
Assam,2012,Industry,36.120000000000005
Assam,2012,Transportation,46.239999999999995
Assam,2012,Waste Management,8.4
Assam,2013,Agriculture,20.63
Assam,2013,Energy,71.96000000000001
Assam,2013,Industry,39.89
Assam,2013,Transportation,19.29
Assam,2013,Waste Management,12.48
Assam,2014,Agriculture,18.229999999999997
Assam,2014,Energy,80.13999999999999
Assam,2014,Industry,32.38
Assam,2014,Transportation,37.69
Assam,2014,Waste Management,10.5
Assam,2015,Agriculture,17.939999999999998
Assam,2015,Energy,78.73
Assam,2015,Industry,35.91
Assam,2015,Transportation,38.38
Assam,2015,Waste Management,9.01
Assam,2016,Agriculture,17.27
Assam,2016,Energy,60.50999999999999
Assam,2016,Industry,26.299999999999997
Assam,2016,Transportation,19.54
Assam,2016,Waste Management,11.8
Assam,2017,Agriculture,18.05
Assam,2017,Energy,42.71
Assam,2017,Industry,49.589999999999996
Assam,2017,Transportation,19.71
Assam,2017,Waste Management,15.11
Assam,2018,Agriculture,22.759999999999998
Assam,2018,Energy,35.71
Assam,2018,Industry,60.61000000000001
Assam,2018,Transportation,47.370000000000005
Assam,2018,Waste Management,16.880000000000003
Assam,2019,Agriculture,21.619999999999997
Assam,2019,Energy,42.510000000000005
Assam,2019,Industry,62.24999999999999
Assam,2019,Transportation,17.59
Assam,2019,Waste Management,9.03
Assam,2020,Agriculture,20.15
Assam,2020,Energy,41.519999999999996
Assam,2020,Industry,55.730000000000004
Assam,2020,Transportation,33.65
Assam,2020,Waste Management,9.46
Assam,2021,Agriculture,19.119999999999997
Assam,2021,Energy,77.31
Assam,2021,Industry,53.86000000000001
Assam,2021,Transportation,40.99
Assam,2021,Waste Management,14.2
Assam,2022,Agriculture,21.27
Assam,2022,Energy,79.61
Assam,2022,Industry,61.400000000000006
Assam,2022,Transportation,43.059999999999995
Assam,2022,Waste Management,12.23
Assam,2023,Agriculture,17.35
Assam,2023,Energy,35.349999999999994
Assam,2023,Industry,56.309999999999995
Assam,2023,Transportation,31.39
Assam,2023,Waste Management,11.12
Assam,2024,Agriculture,11.44
Assam,2024,Energy,53.18
Assam,2024,Industry,58.97
Assam,2024,Transportation,29.290000000000003
Assam,2024,Waste Management,10.780000000000001
Bihar,2010,Agriculture,18.369999999999997
Bihar,2010,Energy,49.24
Bihar,2010,Industry,53.93
Bihar,2010,Transportation,47.269999999999996
Bihar,2010,Waste Management,8.33
Bihar,2011,Agriculture,19.87
Bihar,2011,Energy,38.14
Bihar,2011,Industry,54.21000000000001
Bihar,2011,Transportation,47.980000000000004
Bihar,2011,Waste Management,10.54
Bihar,2012,Agriculture,18.32
Bihar,2012,Energy,59.93
Bihar,2012,Industry,39.32
Bihar,2012,Transportation,44.169999999999995
Bihar,2012,Waste Management,14.49
Bihar,2013,Agriculture,17.04
Bihar,2013,Energy,42.52
Bihar,2013,Industry,56.82000000000001
Bihar,2013,Transportation,26.479999999999997
Bihar,2013,Waste Management,15.440000000000001
Bihar,2014,Agriculture,19.75
Bihar,2014,Energy,35.86
Bihar,2014,Industry,29.29
Bihar,2014,Transportation,44.81999999999999
Bihar,2014,Waste Management,12.15
Bihar,2015,Agriculture,17.9
Bihar,2015,Energy,58.510000000000005
Bihar,2015,Industry,29.38
Bihar,2015,Transportation,31.35
Bihar,2015,Waste Management,10.68
Bihar,2016,Agriculture,15.73
Bihar,2016,Energy,75.02999999999999
Bihar,2016,Industry,39.46
Bihar,2016,Transportation,21.26
Bihar,2016,Waste Management,15.150000000000002
Bihar,2017,Agriculture,11.559999999999999
Bihar,2017,Energy,53.68
Bihar,2017,Industry,45.19
Bihar,2017,Transportation,47.13
Bihar,2017,Waste Management,8.42
Bihar,2018,Agriculture,14.88
Bihar,2018,Energy,70.42999999999999
Bihar,2018,Industry,27.61
Bihar,2018,Transportation,34.96
Bihar,2018,Waste Management,14.170000000000002
Bihar,2019,Agriculture,18.82
Bihar,2019,Energy,78.50999999999999
Bihar,2019,Industry,58.57
Bihar,2019,Transportation,32.1
Bihar,2019,Waste Management,13.469999999999999
Bihar,2020,Agriculture,18.36
Bihar,2020,Energy,55.779999999999994
Bihar,2020,Industry,39.489999999999995
Bihar,2020,Transportation,32.98
Bihar,2020,Waste Management,11.04
Bihar,2021,Agriculture,19.91
Bihar,2021,Energy,44.019999999999996
Bihar,2021,Industry,59.82
Bihar,2021,Transportation,34.77
Bihar,2021,Waste Management,8.34
Bihar,2022,Agriculture,14.57
Bihar,2022,Energy,37.54
Bihar,2022,Industry,41.99999999999999
Bihar,2022,Transportation,35.230000000000004
Bihar,2022,Waste Management,15.64
Bihar,2023,Agriculture,14.71
Bihar,2023,Energy,50.59
Bihar,2023,Industry,53.07
Bihar,2023,Transportation,18.31
Bihar,2023,Waste Management,10.26
Bihar,2024,Agriculture,23.23
Bihar,2024,Energy,67.57000000000001
Bihar,2024,Industry,62.66
Bihar,2024,Transportation,31.7
Bihar,2024,Waste Management,9.809999999999999
Chhattisgarh,2010,Agriculture,25.36
Chhattisgarh,2010,Energy,35.33
Chhattisgarh,2010,Industry,46.75000000000001
Chhattisgarh,2010,Transportation,40.14
Chhattisgarh,2010,Waste Management,13.42
Chhattisgarh,2011,Agriculture,10.2
Chhattisgarh,2011,Energy,42.660000000000004
Chhattisgarh,2011,Industry,62.82
Chhattisgarh,2011,Transportation,26.470000000000002
Chhattisgarh,2011,Waste Management,12.34
Chhattisgarh,2012,Agriculture,15.4
Chhattisgarh,2012,Energy,59.36
Chhattisgarh,2012,Industry,27.700000000000003
Chhattisgarh,2012,Transportation,18.81
Chhattisgarh,2012,Waste Management,12.47
Chhattisgarh,2013,Agriculture,23.3
Chhattisgarh,2013,Energy,39.32
Chhattisgarh,2013,Industry,46.96
Chhattisgarh,2013,Transportation,38.199999999999996
Chhattisgarh,2013,Waste Management,12.55
Chhattisgarh,2014,Agriculture,17.76
Chhattisgarh,2014,Energy,39.95
Chhattisgarh,2014,Industry,58.78
Chhattisgarh,2014,Transportation,47.06
Chhattisgarh,2014,Waste Management,9.84
Chhattisgarh,2015,Agriculture,22.65
Chhattisgarh,2015,Energy,72.24999999999999
Chhattisgarh,2015,Industry,53.83
Chhattisgarh,2015,Transportation,37.519999999999996
Chhattisgarh,2015,Waste Management,14.48
Chhattisgarh,2016,Agriculture,17.310000000000002
Chhattisgarh,2016,Energy,47.09
Chhattisgarh,2016,Industry,50.53
Chhattisgarh,2016,Transportation,48.019999999999996
Chhattisgarh,2016,Waste Management,14.129999999999999
Chhattisgarh,2017,Agriculture,12.850000000000001
Chhattisgarh,2017,Energy,41.309999999999995
Chhattisgarh,2017,Industry,59.239999999999995
Chhattisgarh,2017,Transportation,29.61
Chhattisgarh,2017,Waste Management,14.93
Chhattisgarh,2018,Agriculture,18.269999999999996
Chhattisgarh,2018,Energy,77.44999999999999
Chhattisgarh,2018,Industry,26.69
Chhattisgarh,2018,Transportation,37.13
Chhattisgarh,2018,Waste Management,9.94
Chhattisgarh,2019,Agriculture,25.990000000000002
Chhattisgarh,2019,Energy,66.26
Chhattisgarh,2019,Industry,63.64
Chhattisgarh,2019,Transportation,37.17
Chhattisgarh,2019,Waste Management,16.97
Chhattisgarh,2020,Agriculture,17.16
Chhattisgarh,2020,Energy,69.64
Chhattisgarh,2020,Industry,55.76
Chhattisgarh,2020,Transportation,39.01
Chhattisgarh,2020,Waste Management,9.47
Chhattisgarh,2021,Agriculture,19.220000000000002
Chhattisgarh,2021,Energy,67.71
Chhattisgarh,2021,Industry,32.25
Chhattisgarh,2021,Transportation,36.809999999999995
Chhattisgarh,2021,Waste Management,10.89
Chhattisgarh,2022,Agriculture,23.45
Chhattisgarh,2022,Energy,40.120000000000005
Chhattisgarh,2022,Industry,26.25
Chhattisgarh,2022,Transportation,44.24
Chhattisgarh,2022,Waste Management,10.81
Chhattisgarh,2023,Agriculture,12.92
Chhattisgarh,2023,Energy,44.769999999999996
Chhattisgarh,2023,Industry,51.19
Chhattisgarh,2023,Transportation,43.080000000000005
Chhattisgarh,2023,Waste Management,14.02
Chhattisgarh,2024,Agriculture,21.119999999999997
Chhattisgarh,2024,Energy,64.52
Chhattisgarh,2024,Industry,32.08
Chhattisgarh,2024,Transportation,44.11
Chhattisgarh,2024,Waste Management,10.44
Goa,2010,Agriculture,17.549999999999997
Goa,2010,Energy,68.09
Goa,2010,Industry,43.42
Goa,2010,Transportation,35.78
Goa,2010,Waste Management,10.13
Goa,2011,Agriculture,19.6
Goa,2011,Energy,72.99
Goa,2011,Industry,29.46
Goa,2011,Transportation,37.71
Goa,2011,Waste Management,7.53
Goa,2012,Agriculture,19.990000000000002
Goa,2012,Energy,32.87
Goa,2012,Industry,60.1
Goa,2012,Transportation,39.18
Goa,2012,Waste Management,11.79
Goa,2013,Agriculture,15.56
Goa,2013,Energy,41.17
Goa,2013,Industry,32.15
Goa,2013,Transportation,42.230000000000004
Goa,2013,Waste Management,7.8500000000000005
Goa,2014,Agriculture,10.850000000000001
Goa,2014,Energy,44.5
Goa,2014,Industry,58.660000000000004
Goa,2014,Transportation,45.79
Goa,2014,Waste Management,11.16
Goa,2015,Agriculture,22.05
Goa,2015,Energy,76.82999999999998
Goa,2015,Industry,33.17
Goa,2015,Transportation,33.79
Goa,2015,Waste Management,12.84
Goa,2016,Agriculture,14.399999999999999
Goa,2016,Energy,68.98
Goa,2016,Industry,30.12
Goa,2016,Transportation,35.6
Goa,2016,Waste Management,10.86
Goa,2017,Agriculture,19.310000000000002
Goa,2017,Energy,44.77
Goa,2017,Industry,57.059999999999995
Goa,2017,Transportation,48.230000000000004
Goa,2017,Waste Management,7.470000000000001
Goa,2018,Agriculture,15.870000000000001
Goa,2018,Energy,62.79
Goa,2018,Industry,23.93
Goa,2018,Transportation,46.800000000000004
Goa,2018,Waste Management,15.18
Goa,2019,Agriculture,19.85
Goa,2019,Energy,53.64
Goa,2019,Industry,28.7
Goa,2019,Transportation,34.269999999999996
Goa,2019,Waste Management,11.16
Goa,2020,Agriculture,22.72
Goa,2020,Energy,69.94000000000001
Goa,2020,Industry,63.059999999999995
Goa,2020,Transportation,48.87
Goa,2020,Waste Management,8.6
Goa,2021,Agriculture,14.35
Goa,2021,Energy,29.979999999999997
Goa,2021,Industry,56.23
Goa,2021,Transportation,47.06
Goa,2021,Waste Management,12.42
Goa,2022,Agriculture,11.84
Goa,2022,Energy,54.19
Goa,2022,Industry,35.66
Goa,2022,Transportation,37.190000000000005
Goa,2022,Waste Management,12.9
Goa,2023,Agriculture,18.53
Goa,2023,Energy,49.71
Goa,2023,Industry,28.17
Goa,2023,Transportation,21.28
Goa,2023,Waste Management,7.46
Goa,2024,Agriculture,23.43
Goa,2024,Energy,77.27000000000001
Goa,2024,Industry,32.74
Goa,2024,Transportation,27.21
Goa,2024,Waste Management,12.850000000000001
Gujarat,2010,Agriculture,19.32
Gujarat,2010,Energy,46.150000000000006
Gujarat,2010,Industry,61.17
Gujarat,2010,Transportation,41.64
Gujarat,2010,Waste Management,9.65
Gujarat,2011,Agriculture,18.35
Gujarat,2011,Energy,71.30000000000001
Gujarat,2011,Industry,61.29
Gujarat,2011,Transportation,41.56
Gujarat,2011,Waste Management,14.7
Gujarat,2012,Agriculture,13.54
Gujarat,2012,Energy,64.61
Gujarat,2012,Industry,36.18
Gujarat,2012,Transportation,29.080000000000002
Gujarat,2012,Waste Management,13.51
Gujarat,2013,Agriculture,18.939999999999998
Gujarat,2013,Energy,74.66
Gujarat,2013,Industry,36.11
Gujarat,2013,Transportation,43.46
Gujarat,2013,Waste Management,14.61
Gujarat,2014,Agriculture,19.97
Gujarat,2014,Energy,79.75
Gujarat,2014,Industry,55.949999999999996
Gujarat,2014,Transportation,28.209999999999997
Gujarat,2014,Waste Management,15.129999999999999
Gujarat,2015,Agriculture,14.82
Gujarat,2015,Energy,69.71
Gujarat,2015,Industry,56.75
Gujarat,2015,Transportation,20.96
Gujarat,2015,Waste Management,15.06
Gujarat,2016,Agriculture,14.8
Gujarat,2016,Energy,40.3
Gujarat,2016,Industry,49.74
Gujarat,2016,Transportation,36.04
Gujarat,2016,Waste Management,9.45
Gujarat,2017,Agriculture,21.48
Gujarat,2017,Energy,67.61
Gujarat,2017,Industry,58.15
Gujarat,2017,Transportation,21.68
Gujarat,2017,Waste Management,11.84
Gujarat,2018,Agriculture,17.43
Gujarat,2018,Energy,69.55
Gujarat,2018,Industry,58.8
Gujarat,2018,Transportation,22.05
Gujarat,2018,Waste Management,11.16
Gujarat,2019,Agriculture,23.17
Gujarat,2019,Energy,69.87
Gujarat,2019,Industry,26.54
Gujarat,2019,Transportation,33.81
Gujarat,2019,Waste Management,11.209999999999999
Gujarat,2020,Agriculture,16.79
Gujarat,2020,Energy,59.65
Gujarat,2020,Industry,24.28
Gujarat,2020,Transportation,29.05
Gujarat,2020,Waste Management,11.9
Gujarat,2021,Agriculture,12.530000000000001
Gujarat,2021,Energy,49.01
Gujarat,2021,Industry,39.790000000000006
Gujarat,2021,Transportation,27.1
Gujarat,2021,Waste Management,9.25
Gujarat,2022,Agriculture,16.46
Gujarat,2022,Energy,76.26
Gujarat,2022,Industry,65.47
Gujarat,2022,Transportation,24.959999999999997
Gujarat,2022,Waste Management,11.44
Gujarat,2023,Agriculture,9.7
Gujarat,2023,Energy,74.12
Gujarat,2023,Industry,42.07
Gujarat,2023,Transportation,42.37
Gujarat,2023,Waste Management,11.86
Gujarat,2024,Agriculture,22.439999999999998
Gujarat,2024,Energy,71.37
Gujarat,2024,Industry,43.99
Gujarat,2024,Transportation,48.739999999999995
Gujarat,2024,Waste Management,12.56
Haryana,2010,Agriculture,18.19
Haryana,2010,Energy,75.38
Haryana,2010,Industry,48.589999999999996
Haryana,2010,Transportation,20.139999999999997
Haryana,2010,Waste Management,13.11
Haryana,2011,Agriculture,19.53
Haryana,2011,Energy,63.89
Haryana,2011,Industry,53.68
Haryana,2011,Transportation,29.610000000000003
Haryana,2011,Waste Management,13.93
Haryana,2012,Agriculture,20.82
Haryana,2012,Energy,57.029999999999994
Haryana,2012,Industry,60.800000000000004
Haryana,2012,Transportation,45.089999999999996
Haryana,2012,Waste Management,10.09
Haryana,2013,Agriculture,13.620000000000001
Haryana,2013,Energy,70.47
Haryana,2013,Industry,58.239999999999995
Haryana,2013,Transportation,36.760000000000005
Haryana,2013,Waste Management,12.42
Haryana,2014,Agriculture,14.1
Haryana,2014,Energy,76.66
Haryana,2014,Industry,58.92
Haryana,2014,Transportation,28.01
Haryana,2014,Waste Management,10.0
Haryana,2015,Agriculture,14.32
Haryana,2015,Energy,48.699999999999996
Haryana,2015,Industry,25.17
Haryana,2015,Transportation,27.9
Haryana,2015,Waste Management,9.4
Haryana,2016,Agriculture,15.71
Haryana,2016,Energy,56.809999999999995
Haryana,2016,Industry,35.44
Haryana,2016,Transportation,47.08
Haryana,2016,Waste Management,16.259999999999998
Haryana,2017,Agriculture,20.16
Haryana,2017,Energy,70.62
Haryana,2017,Industry,30.979999999999997
Haryana,2017,Transportation,31.58
Haryana,2017,Waste Management,12.540000000000001
Haryana,2018,Agriculture,16.03
Haryana,2018,Energy,61.339999999999996
Haryana,2018,Industry,45.879999999999995
Haryana,2018,Transportation,35.61
Haryana,2018,Waste Management,10.58
Haryana,2019,Agriculture,17.14
Haryana,2019,Energy,67.27
Haryana,2019,Industry,38.78
Haryana,2019,Transportation,48.379999999999995
Haryana,2019,Waste Management,8.84
Haryana,2020,Agriculture,15.07
Haryana,2020,Energy,56.919999999999995
Haryana,2020,Industry,28.220000000000002
Haryana,2020,Transportation,33.6
Haryana,2020,Waste Management,10.39
Haryana,2021,Agriculture,18.45
Haryana,2021,Energy,70.08
Haryana,2021,Industry,56.61000000000001
Haryana,2021,Transportation,36.81
Haryana,2021,Waste Management,13.33
Haryana,2022,Agriculture,15.350000000000001
Haryana,2022,Energy,50.3
Haryana,2022,Industry,34.410000000000004
Haryana,2022,Transportation,25.990000000000002
Haryana,2022,Waste Management,12.59
Haryana,2023,Agriculture,22.18
Haryana,2023,Energy,69.9
Haryana,2023,Industry,39.2
Haryana,2023,Transportation,46.739999999999995
Haryana,2023,Waste Management,7.49
Haryana,2024,Agriculture,24.18
Haryana,2024,Energy,33.15
Haryana,2024,Industry,47.39
Haryana,2024,Transportation,24.45
Haryana,2024,Waste Management,16.21
Himachal Pradesh,2010,Agriculture,17.42
Himachal Pradesh,2010,Energy,62.92
Himachal Pradesh,2010,Industry,56.88
Himachal Pradesh,2010,Transportation,29.51
Himachal Pradesh,2010,Waste Management,16.27
Himachal Pradesh,2011,Agriculture,15.12
Himachal Pradesh,2011,Energy,67.47
Himachal Pradesh,2011,Industry,34.38
Himachal Pradesh,2011,Transportation,28.39
Himachal Pradesh,2011,Waste Management,10.2
Himachal Pradesh,2012,Agriculture,20.41
Himachal Pradesh,2012,Energy,44.300000000000004
Himachal Pradesh,2012,Industry,40.65
Himachal Pradesh,2012,Transportation,45.800000000000004
Himachal Pradesh,2012,Waste Management,8.54
Himachal Pradesh,2013,Agriculture,16.65
Himachal Pradesh,2013,Energy,81.78
Himachal Pradesh,2013,Industry,53.459999999999994
Himachal Pradesh,2013,Transportation,43.02
Himachal Pradesh,2013,Waste Management,13.71
Himachal Pradesh,2014,Agriculture,17.66
Himachal Pradesh,2014,Energy,65.35
Himachal Pradesh,2014,Industry,41.52
Himachal Pradesh,2014,Transportation,33.629999999999995
Himachal Pradesh,2014,Waste Management,10.239999999999998
Himachal Pradesh,2015,Agriculture,13.27
Himachal Pradesh,2015,Energy,65.55
Himachal Pradesh,2015,Industry,36.830000000000005
Himachal Pradesh,2015,Transportation,47.919999999999995
Himachal Pradesh,2015,Waste Management,12.24
Himachal Pradesh,2016,Agriculture,23.54
Himachal Pradesh,2016,Energy,65.28
Himachal Pradesh,2016,Industry,44.28
Himachal Pradesh,2016,Transportation,21.979999999999997
Himachal Pradesh,2016,Waste Management,16.03
Himachal Pradesh,2017,Agriculture,19.3
Himachal Pradesh,2017,Energy,48.26
Himachal Pradesh,2017,Industry,23.85
Himachal Pradesh,2017,Transportation,39.13
Himachal Pradesh,2017,Waste Management,10.02
Himachal Pradesh,2018,Agriculture,24.25
Himachal Pradesh,2018,Energy,64.57
Himachal Pradesh,2018,Industry,55.17
Himachal Pradesh,2018,Transportation,40.61
Himachal Pradesh,2018,Waste Management,11.690000000000001
Himachal Pradesh,2019,Agriculture,26.71
Himachal Pradesh,2019,Energy,55.43
Himachal Pradesh,2019,Industry,62.19
Himachal Pradesh,2019,Transportation,31.389999999999997
Himachal Pradesh,2019,Waste Management,11.21
Himachal Pradesh,2020,Agriculture,13.030000000000001
Himachal Pradesh,2020,Energy,46.379999999999995
Himachal Pradesh,2020,Industry,42.160000000000004
Himachal Pradesh,2020,Transportation,41.29
Himachal Pradesh,2020,Waste Management,11.0
Himachal Pradesh,2021,Agriculture,19.85
Himachal Pradesh,2021,Energy,74.74999999999999
Himachal Pradesh,2021,Industry,56.989999999999995
Himachal Pradesh,2021,Transportation,21.830000000000002
Himachal Pradesh,2021,Waste Management,16.08
Himachal Pradesh,2022,Agriculture,14.82
Himachal Pradesh,2022,Energy,32.75
Himachal Pradesh,2022,Industry,55.63000000000001
Himachal Pradesh,2022,Transportation,27.389999999999997
Himachal Pradesh,2022,Waste Management,9.39
Himachal Pradesh,2023,Agriculture,20.25
Himachal Pradesh,2023,Energy,72.7
Himachal Pradesh,2023,Industry,53.88
Himachal Pradesh,2023,Transportation,38.26
Himachal Pradesh,2023,Waste Management,14.16
Himachal Pradesh,2024,Agriculture,15.75
Himachal Pradesh,2024,Energy,43.33
Himachal Pradesh,2024,Industry,49.38999999999999
Himachal Pradesh,2024,Transportation,44.42
Himachal Pradesh,2024,Waste Management,8.920000000000002
Jharkhand,2010,Agriculture,16.32
Jharkhand,2010,Energy,57.910000000000004
Jharkhand,2010,Industry,24.59
Jharkhand,2010,Transportation,30.860000000000003
Jharkhand,2010,Waste Management,10.44
Jharkhand,2011,Agriculture,20.810000000000002
Jharkhand,2011,Energy,73.49000000000001
Jharkhand,2011,Industry,45.949999999999996
Jharkhand,2011,Transportation,34.58
Jharkhand,2011,Waste Management,8.89
Jharkhand,2012,Agriculture,16.71
Jharkhand,2012,Energy,65.29
Jharkhand,2012,Industry,43.03
Jharkhand,2012,Transportation,30.59
