state,year,sector,carbon_type,emission_(metric_tons)
Andhra Pradesh,2012,Agriculture,CO2,11.75
Andhra Pradesh,2012,Agriculture,CH4,7.43
Andhra Pradesh,2012,Waste Management,CO,0.43
Andhra Pradesh,2012,Waste Management,CO2,7.01
Andhra Pradesh,2012,Waste Management,CH4,3.37
Andhra Pradesh,2013,Energy,CO,2.03
Andhra Pradesh,2013,Energy,CO2,41.51
Andhra Pradesh,2013,Energy,CH4,2.8
Andhra Pradesh,2013,Industry,CO,2.7
Andhra Pradesh,2013,Industry,CO2,40.87
Andhra Pradesh,2013,Industry,CH4,1.79
Andhra Pradesh,2013,Transportation,CO,4.25
Andhra Pradesh,2013,Transportation,CO2,35.61
Andhra Pradesh,2013,Transportation,CH4,0.85
Andhra Pradesh,2013,Agriculture,CO,0.28
Andhra Pradesh,2013,Agriculture,CO2,6.31
Andhra Pradesh,2013,Agriculture,CH4,4.82
Andhra Pradesh,2013,Waste Management,CO,0.45
Andhra Pradesh,2013,Waste Management,CO2,5.64
Andhra Pradesh,2013,Waste Management,CH4,7.99
Andhra Pradesh,2014,Energy,CO,3.57
Andhra Pradesh,2014,Energy,CO2,35.18
Andhra Pradesh,2014,Energy,CH4,2.16
Andhra Pradesh,2014,Industry,CO,2.08
Andhra Pradesh,2014,Industry,CO2,20.55
Andhra Pradesh,2014,Industry,CH4,3.02
Andhra Pradesh,2014,Transportation,CO,4.3
Andhra Pradesh,2014,Transportation,CO2,24.34
Andhra Pradesh,2014,Transportation,CH4,0.63
Andhra Pradesh,2014,Agriculture,CO,0.49
Andhra Pradesh,2014,Agriculture,CO2,6.45
Andhra Pradesh,2014,Agriculture,CH4,9.0
Andhra Pradesh,2014,Waste Management,CO,0.28
Andhra Pradesh,2014,Waste Management,CO2,3.62
Andhra Pradesh,2014,Waste Management,CH4,7.66
Andhra Pradesh,2015,Energy,CO,2.36
Andhra Pradesh,2015,Energy,CO2,69.8
Andhra Pradesh,2015,Energy,CH4,4.08
Andhra Pradesh,2015,Industry,CO,2.62
Andhra Pradesh,2015,Industry,CO2,27.44
Andhra Pradesh,2015,Industry,CH4,1.62
Andhra Pradesh,2015,Transportation,CO,2.9
Andhra Pradesh,2015,Transportation,CO2,43.05
Andhra Pradesh,2015,Transportation,CH4,0.87
Andhra Pradesh,2015,Agriculture,CO,0.57
Andhra Pradesh,2015,Agriculture,CO2,6.44
Andhra Pradesh,2015,Agriculture,CH4,8.92
Andhra Pradesh,2015,Waste Management,CO,0.24
Andhra Pradesh,2015,Waste Management,CO2,5.35
Andhra Pradesh,2015,Waste Management,CH4,4.04
Andhra Pradesh,2016,Energy,CO,3.7
Andhra Pradesh,2016,Energy,CO2,68.46
Andhra Pradesh,2016,Energy,CH4,1.82
Andhra Pradesh,2016,Industry,CO,1.44
Andhra Pradesh,2016,Industry,CO2,43.96
Andhra Pradesh,2016,Industry,CH4,2.49
Andhra Pradesh,2016,Transportation,CO,2.63
Andhra Pradesh,2016,Transportation,CO2,31.97
Andhra Pradesh,2016,Transportation,CH4,0.79
Andhra Pradesh,2016,Agriculture,CO,0.29
Andhra Pradesh,2016,Agriculture,CO2,11.47
Andhra Pradesh,2016,Agriculture,CH4,10.86
Andhra Pradesh,2016,Waste Management,CO,0.29
Andhra Pradesh,2016,Waste Management,CO2,5.58
Andhra Pradesh,2016,Waste Management,CH4,4.52
Andhra Pradesh,2017,Energy,CO,1.96
Andhra Pradesh,2017,Energy,CO2,59.02
Andhra Pradesh,2017,Energy,CH4,3.59
Andhra Pradesh,2017,Industry,CO,1.95
Andhra Pradesh,2017,Industry,CO2,47.02
Andhra Pradesh,2017,Industry,CH4,1.9
Andhra Pradesh,2017,Transportation,CO,1.83
Andhra Pradesh,2017,Transportation,CO2,18.63
Andhra Pradesh,2017,Transportation,CH4,1.1
Andhra Pradesh,2017,Agriculture,CO,0.73
Andhra Pradesh,2017,Agriculture,CO2,5.12
Andhra Pradesh,2017,Agriculture,CH4,10.6
Andhra Pradesh,2017,Waste Management,CO,0.34
Andhra Pradesh,2017,Waste Management,CO2,4.72
Andhra Pradesh,2017,Waste Management,CH4,6.7
Andhra Pradesh,2018,Energy,CO,2.63
Andhra Pradesh,2018,Energy,CO2,47.88
Andhra Pradesh,2018,Energy,CH4,4.11
Andhra Pradesh,2018,Industry,CO,1.75
Andhra Pradesh,2018,Industry,CO2,55.14
Andhra Pradesh,2018,Industry,CH4,3.69
Andhra Pradesh,2018,Transportation,CO,3.73
Andhra Pradesh,2018,Transportation,CO2,21.58
Andhra Pradesh,2018,Transportation,CH4,0.54
Andhra Pradesh,2018,Agriculture,CO,0.73
Andhra Pradesh,2018,Agriculture,CO2,12.25
Andhra Pradesh,2018,Agriculture,CH4,8.46
Andhra Pradesh,2018,Waste Management,CO,0.21
Andhra Pradesh,2018,Waste Management,CO2,6.31
Andhra Pradesh,2018,Waste Management,CH4,7.82
Andhra Pradesh,2019,Energy,CO,3.72
Andhra Pradesh,2019,Energy,CO2,74.47
Andhra Pradesh,2019,Energy,CH4,3.37
Andhra Pradesh,2019,Industry,CO,2.55
Andhra Pradesh,2019,Industry,CO2,57.2
Andhra Pradesh,2019,Industry,CH4,2.24
Andhra Pradesh,2019,Transportation,CO,2.34
Andhra Pradesh,2019,Transportation,CO2,20.78
Andhra Pradesh,2019,Transportation,CH4,1.19
Andhra Pradesh,2019,Agriculture,CO,0.25
Andhra Pradesh,2019,Agriculture,CO2,10.57
Andhra Pradesh,2019,Agriculture,CH4,9.11
Andhra Pradesh,2019,Waste Management,CO,0.34
Andhra Pradesh,2019,Waste Management,CO2,5.16
Andhra Pradesh,2019,Waste Management,CH4,9.66
Andhra Pradesh,2020,Energy,CO,2.15
Andhra Pradesh,2020,Energy,CO2,30.58
Andhra Pradesh,2020,Energy,CH4,3.24
Andhra Pradesh,2020,Industry,CO,2.36
Andhra Pradesh,2020,Industry,CO2,28.14
Andhra Pradesh,2020,Industry,CH4,3.27
Andhra Pradesh,2020,Transportation,CO,3.01
Andhra Pradesh,2020,Transportation,CO2,19.9
Andhra Pradesh,2020,Transportation,CH4,0.68
Andhra Pradesh,2020,Agriculture,CO,0.64
Andhra Pradesh,2020,Agriculture,CO2,6.38
Andhra Pradesh,2020,Agriculture,CH4,7.96
Andhra Pradesh,2020,Waste Management,CO,0.26
Andhra Pradesh,2020,Waste Management,CO2,6.81
Andhra Pradesh,2020,Waste Management,CH4,5.36
Andhra Pradesh,2021,Energy,CO,3.28
Andhra Pradesh,2021,Energy,CO2,59.76
Andhra Pradesh,2021,Energy,CH4,3.02
Andhra Pradesh,2021,Industry,CO,1.7
Andhra Pradesh,2021,Industry,CO2,20.13
Andhra Pradesh,2021,Industry,CH4,1.93
Andhra Pradesh,2021,Transportation,CO,2.94
Andhra Pradesh,2021,Transportation,CO2,26.58
Andhra Pradesh,2021,Transportation,CH4,0.73
Andhra Pradesh,2021,Agriculture,CO,0.4
Andhra Pradesh,2021,Agriculture,CO2,13.79
Andhra Pradesh,2021,Agriculture,CH4,6.85
Andhra Pradesh,2021,Waste Management,CO,0.45
Andhra Pradesh,2021,Waste Management,CO2,6.16
Andhra Pradesh,2021,Waste Management,CH4,6.15
Andhra Pradesh,2022,Energy,CO,1.36
Andhra Pradesh,2022,Energy,CO2,69.68
Andhra Pradesh,2022,Energy,CH4,1.62
Andhra Pradesh,2022,Industry,CO,1.88
Andhra Pradesh,2022,Industry,CO2,43.85
Andhra Pradesh,2022,Industry,CH4,1.38
Andhra Pradesh,2022,Transportation,CO,1.65
Andhra Pradesh,2022,Transportation,CO2,15.35
Andhra Pradesh,2022,Transportation,CH4,0.68
Andhra Pradesh,2022,Agriculture,CO,0.4
Andhra Pradesh,2022,Agriculture,CO2,11.74
Andhra Pradesh,2022,Agriculture,CH4,6.71
Andhra Pradesh,2022,Waste Management,CO,0.43
Andhra Pradesh,2022,Waste Management,CO2,5.52
Andhra Pradesh,2022,Waste Management,CH4,7.93
Andhra Pradesh,2023,Energy,CO,2.04
Andhra Pradesh,2023,Energy,CO2,35.31
Andhra Pradesh,2023,Energy,CH4,4.1
Andhra Pradesh,2023,Industry,CO,1.82
Andhra Pradesh,2023,Industry,CO2,57.78
Andhra Pradesh,2023,Industry,CH4,1.88
Andhra Pradesh,2023,Transportation,CO,1.66
Andhra Pradesh,2023,Transportation,CO2,15.53
Andhra Pradesh,2023,Transportation,CH4,1.01
Andhra Pradesh,2023,Agriculture,CO,0.65
Andhra Pradesh,2023,Agriculture,CO2,6.81
Andhra Pradesh,2023,Agriculture,CH4,8.9
Andhra Pradesh,2023,Waste Management,CO,0.21
Andhra Pradesh,2023,Waste Management,CO2,2.56
Andhra Pradesh,2023,Waste Management,CH4,5.47
Andhra Pradesh,2024,Energy,CO,1.92
Andhra Pradesh,2024,Energy,CO2,25.47
Andhra Pradesh,2024,Energy,CH4,1.85
Andhra Pradesh,2024,Industry,CO,2.68
Andhra Pradesh,2024,Industry,CO2,24.37
Andhra Pradesh,2024,Industry,CH4,3.68
Andhra Pradesh,2024,Transportation,CO,2.2
Andhra Pradesh,2024,Transportation,CO2,33.56
Andhra Pradesh,2024,Transportation,CH4,0.83
Andhra Pradesh,2024,Agriculture,CO,0.42
Andhra Pradesh,2024,Agriculture,CO2,9.98
Andhra Pradesh,2024,Agriculture,CH4,7.05
Andhra Pradesh,2024,Waste Management,CO,0.17
Andhra Pradesh,2024,Waste Management,CO2,2.74
Andhra Pradesh,2024,Waste Management,CH4,4.95
Arunachal Pradesh,2010,Energy,CO,2.34
Arunachal Pradesh,2010,Energy,CO2,31.37
Arunachal Pradesh,2010,Energy,CH4,1.96
Arunachal Pradesh,2010,Industry,CO,1.95
Arunachal Pradesh,2010,Industry,CO2,58.85
Arunachal Pradesh,2010,Industry,CH4,2.7
Arunachal Pradesh,2010,Transportation,CO,2.87
Arunachal Pradesh,2010,Transportation,CO2,16.39
Arunachal Pradesh,2010,Transportation,CH4,1.37
Arunachal Pradesh,2010,Agriculture,CO,0.45
Arunachal Pradesh,2010,Agriculture,CO2,9.01
Arunachal Pradesh,2010,Agriculture,CH4,7.99
Arunachal Pradesh,2010,Waste Management,CO,0.33
Arunachal Pradesh,2010,Waste Management,CO2,3.96
Arunachal Pradesh,2010,Waste Management,CH4,3.38
Arunachal Pradesh,2011,Energy,CO,2.3
Arunachal Pradesh,2011,Energy,CO2,36.37
Arunachal Pradesh,2011,Energy,CH4,3.73
Arunachal Pradesh,2011,Industry,CO,1.51
Arunachal Pradesh,2011,Industry,CO2,40.95
Arunachal Pradesh,2011,Industry,CH4,1.84
Arunachal Pradesh,2011,Transportation,CO,2.95
Arunachal Pradesh,2011,Transportation,CO2,34.3
Arunachal Pradesh,2011,Transportation,CH4,1.32
Arunachal Pradesh,2011,Agriculture,CO,0.51
Arunachal Pradesh,2011,Agriculture,CO2,12.59
Arunachal Pradesh,2011,Agriculture,CH4,6.72
Arunachal Pradesh,2011,Waste Management,CO,0.33
Arunachal Pradesh,2011,Waste Management,CO2,6.5
Arunachal Pradesh,2011,Waste Management,CH4,4.34
Arunachal Pradesh,2012,Energy,CO,2.06
Arunachal Pradesh,2012,Energy,CO2,74.26
Arunachal Pradesh,2012,Energy,CH4,1.9
Arunachal Pradesh,2012,Industry,CO,1.5
Arunachal Pradesh,2012,Industry,CO2,53.22
Arunachal Pradesh,2012,Industry,CH4,2.95
Arunachal Pradesh,2012,Transportation,CO,2.33
Arunachal Pradesh,2012,Transportation,CO2,18.93
Arunachal Pradesh,2012,Transportation,CH4,1.38
Arunachal Pradesh,2012,Agriculture,CO,0.58
Arunachal Pradesh,2012,Agriculture,CO2,14.7
Arunachal Pradesh,2012,Agriculture,CH4,5.05
Arunachal Pradesh,2012,Waste Management,CO,0.22
Arunachal Pradesh,2012,Waste Management,CO2,4.57
Arunachal Pradesh,2012,Waste Management,CH4,7.02
Arunachal Pradesh,2013,Energy,CO,1.59
Arunachal Pradesh,2013,Energy,CO2,71.07
Arunachal Pradesh,2013,Energy,CH4,2.24
Arunachal Pradesh,2013,Industry,CO,2.64
Arunachal Pradesh,2013,Industry,CO2,23.88
Arunachal Pradesh,2013,Industry,CH4,3.13
Arunachal Pradesh,2013,Transportation,CO,3.69
Arunachal Pradesh,2013,Transportation,CO2,16.47
Arunachal Pradesh,2013,Transportation,CH4,1.02
Arunachal Pradesh,2013,Agriculture,CO,0.74
Arunachal Pradesh,2013,Agriculture,CO2,14.62
Arunachal Pradesh,2013,Agriculture,CH4,11.97
Arunachal Pradesh,2013,Waste Management,CO,0.22
Arunachal Pradesh,2013,Waste Management,CO2,2.77
Arunachal Pradesh,2013,Waste Management,CH4,7.05
Arunachal Pradesh,2014,Energy,CO,3.46
Arunachal Pradesh,2014,Energy,CO2,29.5
Arunachal Pradesh,2014,Energy,CH4,4.06
Arunachal Pradesh,2014,Industry,CO,1.69
Arunachal Pradesh,2014,Industry,CO2,35.23
Arunachal Pradesh,2014,Industry,CH4,3.56
Arunachal Pradesh,2014,Transportation,CO,4.47
Arunachal Pradesh,2014,Transportation,CO2,23.33
Arunachal Pradesh,2014,Transportation,CH4,1.2
Arunachal Pradesh,2014,Agriculture,CO,0.51
Arunachal Pradesh,2014,Agriculture,CO2,8.32
Arunachal Pradesh,2014,Agriculture,CH4,10.45
Arunachal Pradesh,2014,Waste Management,CO,0.3
Arunachal Pradesh,2014,Waste Management,CO2,3.53
Arunachal Pradesh,2014,Waste Management,CH4,5.51
Arunachal Pradesh,2015,Energy,CO,3.18
Arunachal Pradesh,2015,Energy,CO2,51.57
Arunachal Pradesh,2015,Energy,CH4,2.39
Arunachal Pradesh,2015,Industry,CO,2.43
Arunachal Pradesh,2015,Industry,CO2,37.49
Arunachal Pradesh,2015,Industry,CH4,2.84
Arunachal Pradesh,2015,Transportation,CO,3.07
Arunachal Pradesh,2015,Transportation,CO2,43.85
Arunachal Pradesh,2015,Transportation,CH4,0.72
Arunachal Pradesh,2015,Agriculture,CO,0.6
Arunachal Pradesh,2015,Agriculture,CO2,12.64
Arunachal Pradesh,2015,Agriculture,CH4,8.29
Arunachal Pradesh,2015,Waste Management,CO,0.3
Arunachal Pradesh,2015,Waste Management,CO2,4.36
Arunachal Pradesh,2015,Waste Management,CH4,4.91
Arunachal Pradesh,2016,Energy,CO,2.42
Arunachal Pradesh,2016,Energy,CO2,33.85
Arunachal Pradesh,2016,Energy,CH4,1.8
Arunachal Pradesh,2016,Industry,CO,1.48
Arunachal Pradesh,2016,Industry,CO2,53.54
Arunachal Pradesh,2016,Industry,CH4,1.41
Arunachal Pradesh,2016,Transportation,CO,2.25
Arunachal Pradesh,2016,Transportation,CO2,17.93
Arunachal Pradesh,2016,Transportation,CH4,0.73
Arunachal Pradesh,2016,Agriculture,CO,0.27
Arunachal Pradesh,2016,Agriculture,CO2,9.58
Arunachal Pradesh,2016,Agriculture,CH4,4.44
Arunachal Pradesh,2016,Waste Management,CO,0.34
Arunachal Pradesh,2016,Waste Management,CO2,4.23
Arunachal Pradesh,2016,Waste Management,CH4,7.48
Arunachal Pradesh,2017,Energy,CO,1.26
Arunachal Pradesh,2017,Energy,CO2,33.72
Arunachal Pradesh,2017,Energy,CH4,2.55
Arunachal Pradesh,2017,Industry,CO,1.14
Arunachal Pradesh,2017,Industry,CO2,39.46
Arunachal Pradesh,2017,Industry,CH4,3.21
Arunachal Pradesh,2017,Transportation,CO,2.94
Arunachal Pradesh,2017,Transportation,CO2,29.79
Arunachal Pradesh,2017,Transportation,CH4,1.03
Arunachal Pradesh,2017,Agriculture,CO,0.35
Arunachal Pradesh,2017,Agriculture,CO2,5.31
Arunachal Pradesh,2017,Agriculture,CH4,8.97
Arunachal Pradesh,2017,Waste Management,CO,0.17
Arunachal Pradesh,2017,Waste Management,CO2,2.87
Arunachal Pradesh,2017,Waste Management,CH4,6.86
Arunachal Pradesh,2018,Energy,CO,1.89
Arunachal Pradesh,2018,Energy,CO2,28.94
Arunachal Pradesh,2018,Energy,CH4,3.19
Arunachal Pradesh,2018,Industry,CO,1.57
Arunachal Pradesh,2018,Industry,CO2,45.89
Arunachal Pradesh,2018,Industry,CH4,2.27
Arunachal Pradesh,2018,Transportation,CO,4.45
Arunachal Pradesh,2018,Transportation,CO2,16.69
Arunachal Pradesh,2018,Transportation,CH4,0.68
Arunachal Pradesh,2018,Agriculture,CO,0.35
Arunachal Pradesh,2018,Agriculture,CO2,14.73
Arunachal Pradesh,2018,Agriculture,CH4,9.16
Arunachal Pradesh,2018,Waste Management,CO,0.4
Arunachal Pradesh,2018,Waste Management,CO2,6.82
Arunachal Pradesh,2018,Waste Management,CH4,5.67
Arunachal Pradesh,2019,Energy,CO,1.85
Arunachal Pradesh,2019,Energy,CO2,50.44
Arunachal Pradesh,2019,Energy,CH4,3.14
Arunachal Pradesh,2019,Industry,CO,2.5
Arunachal Pradesh,2019,Industry,CO2,28.22
Arunachal Pradesh,2019,Industry,CH4,3.6
Arunachal Pradesh,2019,Transportation,CO,2.18
Arunachal Pradesh,2019,Transportation,CO2,34.87
Arunachal Pradesh,2019,Transportation,CH4,0.8
Arunachal Pradesh,2019,Agriculture,CO,0.55
Arunachal Pradesh,2019,Agriculture,CO2,11.67
Arunachal Pradesh,2019,Agriculture,CH4,5.13
Arunachal Pradesh,2019,Waste Management,CO,0.36
Arunachal Pradesh,2019,Waste Management,CO2,4.8
Arunachal Pradesh,2019,Waste Management,CH4,4.62
Arunachal Pradesh,2020,Energy,CO,1.94
Arunachal Pradesh,2020,Energy,CO2,45.84
Arunachal Pradesh,2020,Energy,CH4,4.1
Arunachal Pradesh,2020,Industry,CO,2.24
Arunachal Pradesh,2020,Industry,CO2,20.75
Arunachal Pradesh,2020,Industry,CH4,2.95
Arunachal Pradesh,2020,Transportation,CO,4.08
Arunachal Pradesh,2020,Transportation,CO2,22.43
Arunachal Pradesh,2020,Transportation,CH4,0.58
Arunachal Pradesh,2020,Agriculture,CO,0.53
Arunachal Pradesh,2020,Agriculture,CO2,5.94
Arunachal Pradesh,2020,Agriculture,CH4,5.45
Arunachal Pradesh,2020,Waste Management,CO,0.41
Arunachal Pradesh,2020,Waste Management,CO2,3.25
Arunachal Pradesh,2020,Waste Management,CH4,5.26
Arunachal Pradesh,2021,Energy,CO,3.19
Arunachal Pradesh,2021,Energy,CO2,55.57
Arunachal Pradesh,2021,Energy,CH4,1.56
Arunachal Pradesh,2021,Industry,CO,2.17
Arunachal Pradesh,2021,Industry,CO2,37.54
Arunachal Pradesh,2021,Industry,CH4,3.65
Arunachal Pradesh,2021,Transportation,CO,1.54
Arunachal Pradesh,2021,Transportation,CO2,33.74
Arunachal Pradesh,2021,Transportation,CH4,0.74
Arunachal Pradesh,2021,Agriculture,CO,0.5
Arunachal Pradesh,2021,Agriculture,CO2,9.56
Arunachal Pradesh,2021,Agriculture,CH4,8.86
Arunachal Pradesh,2021,Waste Management,CO,0.37
Arunachal Pradesh,2021,Waste Management,CO2,2.57
Arunachal Pradesh,2021,Waste Management,CH4,6.83
Arunachal Pradesh,2022,Energy,CO,2.69
Arunachal Pradesh,2022,Energy,CO2,55.29
Arunachal Pradesh,2022,Energy,CH4,1.9
Arunachal Pradesh,2022,Industry,CO,1.92
Arunachal Pradesh,2022,Industry,CO2,33.86
Arunachal Pradesh,2022,Industry,CH4,2.48
Arunachal Pradesh,2022,Transportation,CO,1.52
Arunachal Pradesh,2022,Transportation,CO2,19.49
Arunachal Pradesh,2022,Transportation,CH4,1.01
Arunachal Pradesh,2022,Agriculture,CO,0.29
Arunachal Pradesh,2022,Agriculture,CO2,7.5
Arunachal Pradesh,2022,Agriculture,CH4,8.66
Arunachal Pradesh,2022,Waste Management,CO,0.39
Arunachal Pradesh,2022,Waste Management,CO2,5.87
Arunachal Pradesh,2022,Waste Management,CH4,3.48
Arunachal Pradesh,2023,Energy,CO,3.38
Arunachal Pradesh,2023,Energy,CO2,36.12
Arunachal Pradesh,2023,Energy,CH4,3.54
Arunachal Pradesh,2023,Industry,CO,1.8
Arunachal Pradesh,2023,Industry,CO2,37.97
Arunachal Pradesh,2023,Industry,CH4,3.68
Arunachal Pradesh,2023,Transportation,CO,4.13
Arunachal Pradesh,2023,Transportation,CO2,32.73
Arunachal Pradesh,2023,Transportation,CH4,0.93
Arunachal Pradesh,2023,Agriculture,CO,0.7
Arunachal Pradesh,2023,Agriculture,CO2,11.98
Arunachal Pradesh,2023,Agriculture,CH4,7.47
Arunachal Pradesh,2023,Waste Management,CO,0.43
Arunachal Pradesh,2023,Waste Management,CO2,4.25
Arunachal Pradesh,2023,Waste Management,CH4,6.66
Arunachal Pradesh,2024,Energy,CO,1.42
Arunachal Pradesh,2024,Energy,CO2,62.3
Arunachal Pradesh,2024,Energy,CH4,4.42
Arunachal Pradesh,2024,Industry,CO,1.19
Arunachal Pradesh,2024,Industry,CO2,33.92
Arunachal Pradesh,2024,Industry,CH4,3.69
Arunachal Pradesh,2024,Transportation,CO,2.07
Arunachal Pradesh,2024,Transportation,CO2,34.92
Arunachal Pradesh,2024,Transportation,CH4,0.89
Arunachal Pradesh,2024,Agriculture,CO,0.26
Arunachal Pradesh,2024,Agriculture,CO2,11.6
Arunachal Pradesh,2024,Agriculture,CH4,6.51
Arunachal Pradesh,2024,Waste Management,CO,0.41
Arunachal Pradesh,2024,Waste Management,CO2,5.25
Arunachal Pradesh,2024,Waste Management,CH4,6.22
Assam,2010,Energy,CO,3.13
Assam,2010,Energy,CO2,64.55
Assam,2010,Energy,CH4,4.46
Assam,2010,Industry,CO,2.51
Assam,2010,Industry,CO2,51.72
Assam,2010,Industry,CH4,2.36
Assam,2010,Transportation,CO,4.02
Assam,2010,Transportation,CO2,43.85
Assam,2010,Transportation,CH4,1.11
Assam,2010,Agriculture,CO,0.75
Assam,2010,Agriculture,CO2,8.86
Assam,2010,Agriculture,CH4,6.9
Assam,2010,Waste Management,CO,0.27
Assam,2010,Waste Management,CO2,4.2
Assam,2010,Waste Management,CH4,4.41
Assam,2011,Energy,CO,1.72
Assam,2011,Energy,CO2,49.25
Assam,2011,Energy,CH4,1.93
Assam,2011,Industry,CO,1.12
Assam,2011,Industry,CO2,57.62
Assam,2011,Industry,CH4,1.3
Assam,2011,Transportation,CO,2.83
Assam,2011,Transportation,CO2,23.84
Assam,2011,Transportation,CH4,1.34
Assam,2011,Agriculture,CO,0.41
Assam,2011,Agriculture,CO2,14.2
Assam,2011,Agriculture,CH4,5.18
Assam,2011,Waste Management,CO,0.24
Assam,2011,Waste Management,CO2,5.04
Assam,2011,Waste Management,CH4,5.41
Assam,2012,Energy,CO,1.67
Assam,2012,Energy,CO2,58.73
Assam,2012,Energy,CH4,3.03
Assam,2012,Industry,CO,1.5
Assam,2012,Industry,CO2,57.01
Assam,2012,Industry,CH4,2.02
Assam,2012,Transportation,CO,2.35
Assam,2012,Transportation,CO2,35.53
Assam,2012,Transportation,CH4,1.06
Assam,2012,Agriculture,CO,0.4
Assam,2012,Agriculture,CO2,6.37
Assam,2012,Agriculture,CH4,8.08
Assam,2012,Waste Management,CO,0.28
Assam,2012,Waste Management,CO2,4.53
Assam,2012,Waste Management,CH4,8.8
Assam,2013,Energy,CO,2.54
Assam,2013,Energy,CO2,30.84
Assam,2013,Energy,CH4,3.4
Assam,2013,Industry,CO,0.95
Assam,2013,Industry,CO2,41.58
Assam,2013,Industry,CH4,3.58
Assam,2013,Transportation,CO,1.73
Assam,2013,Transportation,CO2,17.93
Assam,2013,Transportation,CH4,0.85
Assam,2013,Agriculture,CO,0.67
Assam,2013,Agriculture,CO2,11.49
Assam,2013,Agriculture,CH4,6.24
Assam,2013,Waste Management,CO,0.27
Assam,2013,Waste Management,CO2,6.26
Assam,2013,Waste Management,CH4,5.19
Assam,2014,Energy,CO,2.37
Assam,2014,Energy,CO2,34.77
Assam,2014,Energy,CH4,2.17
Assam,2014,Industry,CO,2.1
Assam,2014,Industry,CO2,35.61
Assam,2014,Industry,CH4,2.41
Assam,2014,Transportation,CO,3.28
Assam,2014,Transportation,CO2,20.73
Assam,2014,Transportation,CH4,1.33
Assam,2014,Agriculture,CO,0.61
Assam,2014,Agriculture,CO2,7.07
Assam,2014,Agriculture,CH4,8.03
Assam,2014,Waste Management,CO,0.44
Assam,2014,Waste Management,CO2,3.89
Assam,2014,Waste Management,CH4,6.52
Assam,2015,Energy,CO,2.12
Assam,2015,Energy,CO2,42.3
Assam,2015,Energy,CH4,4.18
Assam,2015,Industry,CO,1.87
Assam,2015,Industry,CO2,46.05
Assam,2015,Industry,CH4,2.23
Assam,2015,Transportation,CO,2.37
Assam,2015,Transportation,CO2,28.27
Assam,2015,Transportation,CH4,0.96
Assam,2015,Agriculture,CO,0.31
Assam,2015,Agriculture,CO2,7.27
Assam,2015,Agriculture,CH4,10.97
Assam,2015,Waste Management,CO,0.22
Assam,2015,Waste Management,CO2,4.92
Assam,2015,Waste Management,CH4,3.42
Assam,2016,Energy,CO,1.78
Assam,2016,Energy,CO2,53.71
Assam,2016,Energy,CH4,1.72
Assam,2016,Industry,CO,1.92
Assam,2016,Industry,CO2,55.19
Assam,2016,Industry,CH4,2.28
Assam,2016,Transportation,CO,3.18
Assam,2016,Transportation,CO2,29.94
Assam,2016,Transportation,CH4,0.84
Assam,2016,Agriculture,CO,0.44
Assam,2016,Agriculture,CO2,6.4
Assam,2016,Agriculture,CH4,11.44
Assam,2016,Waste Management,CO,0.3
Assam,2016,Waste Management,CO2,5.75
Assam,2016,Waste Management,CH4,3.6
Assam,2017,Energy,CO,2.31
Assam,2017,Energy,CO2,66.3
Assam,2017,Energy,CH4,3.86
Assam,2017,Industry,CO,1.0
Assam,2017,Industry,CO2,52.78
Assam,2017,Industry,CH4,3.62
